"VolunteerID" "Activity" "Siganal" "ValueMEAN"
"1" "Walking" "TimeBodyAccMagMEAN" -0.136971176556842
"1" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.129927630735849
"1" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.0271882914106122
"1" "Sitting" "TimeBodyAccMagMEAN" -0.948536786170213
"1" "Standing" "TimeBodyAccMagMEAN" -0.984278207358491
"1" "Laying" "TimeBodyAccMagMEAN" -0.8419291525
"2" "Walking" "TimeBodyAccMagMEAN" -0.290407593728814
"2" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.107322679520833
"2" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.0899511204978723
"2" "Sitting" "TimeBodyAccMagMEAN" -0.967893623913043
"2" "Standing" "TimeBodyAccMagMEAN" -0.965875181296296
"2" "Laying" "TimeBodyAccMagMEAN" -0.977435485208333
"3" "Walking" "TimeBodyAccMagMEAN" -0.254690333275862
"3" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.184014895
"3" "Walking Downstairs" "TimeBodyAccMagMEAN" -0.0628126118283674
"3" "Sitting" "TimeBodyAccMagMEAN" -0.895383350192308
"3" "Standing" "TimeBodyAccMagMEAN" -0.925430819016393
"3" "Laying" "TimeBodyAccMagMEAN" -0.972791346129032
"4" "Walking" "TimeBodyAccMagMEAN" -0.312050574166667
"4" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.153703935357692
"4" "Walking Downstairs" "TimeBodyAccMagMEAN" -0.0491616726733333
"4" "Sitting" "TimeBodyAccMagMEAN" -0.93569482
"4" "Standing" "TimeBodyAccMagMEAN" -0.906478051785714
"4" "Laying" "TimeBodyAccMagMEAN" -0.954557603148148
"5" "Walking" "TimeBodyAccMagMEAN" -0.158338674394643
"5" "Walking Upstairs" "TimeBodyAccMagMEAN" 0.0435562021989362
"5" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.211138853638298
"5" "Sitting" "TimeBodyAccMagMEAN" -0.9379783225
"5" "Standing" "TimeBodyAccMagMEAN" -0.906104701071429
"5" "Laying" "TimeBodyAccMagMEAN" -0.966777882884615
"6" "Walking" "TimeBodyAccMagMEAN" -0.166840713631579
"6" "Walking Upstairs" "TimeBodyAccMagMEAN" 0.0177790974433333
"6" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.333754731458333
"6" "Sitting" "TimeBodyAccMagMEAN" -0.949543531272727
"6" "Standing" "TimeBodyAccMagMEAN" -0.945022876491228
"6" "Laying" "TimeBodyAccMagMEAN" -0.918878850824561
"7" "Walking" "TimeBodyAccMagMEAN" -0.0978090439438596
"7" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.198074437978431
"7" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.0198795285851064
"7" "Sitting" "TimeBodyAccMagMEAN" -0.918432107083333
"7" "Standing" "TimeBodyAccMagMEAN" -0.942724659245283
"7" "Laying" "TimeBodyAccMagMEAN" -0.936392023846154
"8" "Walking" "TimeBodyAccMagMEAN" 0.0516786278104167
"8" "Walking Upstairs" "TimeBodyAccMagMEAN" 0.121026629195122
"8" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.176599311818421
"8" "Sitting" "TimeBodyAccMagMEAN" -0.952139704347826
"8" "Standing" "TimeBodyAccMagMEAN" -0.953762884074074
"8" "Laying" "TimeBodyAccMagMEAN" -0.935308633888889
"9" "Walking" "TimeBodyAccMagMEAN" -0.0980840496143461
"9" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.260727581428571
"9" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.145886357935714
"9" "Sitting" "TimeBodyAccMagMEAN" -0.8933617176
"9" "Standing" "TimeBodyAccMagMEAN" -0.945167482444444
"9" "Laying" "TimeBodyAccMagMEAN" -0.9308684376
"10" "Walking" "TimeBodyAccMagMEAN" -0.127400912069811
"10" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.0266623294757447
"10" "Walking Downstairs" "TimeBodyAccMagMEAN" 0.250843769394737
"10" "Sitting" "TimeBodyAccMagMEAN" -0.96075719962963
"10" "Standing" "TimeBodyAccMagMEAN" -0.951988907954545
"10" "Laying" "TimeBodyAccMagMEAN" -0.956781819655172
"11" "Walking" "TimeBodyAccMagMEAN" -0.288323472033898
"11" "Walking Upstairs" "TimeBodyAccMagMEAN" -0.132594623759259
